env,V_mean_jens,D_mean_jens,cohen_d,cohen_se,n_V,n_D,V_median_jens,D_median_jens,robust_d,robust_ci_lo,robust_ci_hi
Asterix,12.7067,6.1371,-8.539,1.198,15,15,12.9606,6.0739,-5.556,-10.428,-4.165
Breakout,4.9186,1.8378,-7.013,0.700,30,30,4.8505,1.7942,-5.351,-7.237,-4.042
Freeway,0.2673,0.1406,-1.106,0.278,30,30,0.2626,0.1359,-0.884,-1.653,-0.472
SpaceInvaders,6.9734,2.7797,-12.827,1.219,30,30,6.9114,2.7669,-10.672,-14.986,-7.841
PacMan,91.4517,57.5919,-0.858,0.470,10,10,98.2750,60.2169,-0.830,-2.619,+0.032
Snake,4.7424,6.3249,+0.179,0.259,30,30,2.8882,2.2879,-0.529,-1.323,-0.044
MetaMaze,5.1560,3.3784,-2.698,0.360,30,30,5.1186,3.5870,-2.033,-3.221,-1.484
FourRooms,0.8755,0.3321,-2.215,0.330,30,30,0.7785,0.3043,-1.454,-2.445,-0.992
CartPole,124.4450,126.6575,+0.092,0.258,30,30,125.4014,131.1485,+0.211,-0.539,+0.608
Acrobot,7.3333,6.5310,-0.357,0.260,30,30,7.0565,5.8758,-0.506,-1.189,+0.056
MountainCar,14.9673,14.2390,-0.159,0.259,30,30,13.9531,13.3569,-0.113,-0.643,+0.386
LunarLander,46.2791,43.7872,-0.218,0.259,30,30,44.4564,43.7470,-0.050,-0.452,+0.436

# DL pool (mean): d=-2.507 SE=0.521 τ²=2.960 I²=0.96
# PI: [-6.512, +1.498]
# DL Verdict: NO_EFFECT
# Bridge cross_env_consistency_binomial: 10/12 envs in direction (of 12 total), p=0.0193
# robust_d = (median_D - median_V)/pooled_IQR; robust CI = bootstrap 2.5/97.5 (B=2000, per-arm resample)
