env,V_mean_late,D_mean_late,d_late,se_late,V_mean_peak,D_mean_peak,d_peak,se_peak,n_V,n_D
Acrobot,-90.850,-94.041,-0.283,0.260,-77.698,-77.795,-0.041,0.258,30,30
Breakout,49.069,47.449,-0.197,0.259,77.473,82.820,+0.444,0.261,30,30
SpaceInvaders,98.792,96.716,-0.189,0.259,139.133,142.300,+0.909,0.272,30,30
MountainCar,-137.665,-138.154,-0.018,0.258,-116.645,-116.370,+0.011,0.258,30,30
CartPole,332.341,336.394,+0.073,0.258,496.967,491.667,-0.203,0.259,30,30
Snake,0.203,0.243,+0.113,0.258,0.689,0.900,+0.219,0.259,30,30
Freeway,38.275,39.702,+0.188,0.259,48.513,49.660,+0.246,0.259,30,30
LunarLander,19.327,40.096,+0.255,0.259,184.003,189.506,+0.097,0.258,30,30
PacMan,858.250,990.500,+0.589,0.458,995.000,1160.667,+0.651,0.460,10,10
MetaMaze,33.342,36.787,+0.813,0.269,59.717,62.667,+0.350,0.260,30,30
FourRooms,0.725,0.949,+1.250,0.283,0.988,1.000,+0.258,0.259,30,30
Asterix,15.176,22.311,+1.806,0.308,28.960,37.867,+1.320,0.286,30,30

# late: DL d=+0.349, I²=0.80, PI=[-0.926, +1.625], verdict=NO_EFFECT
# peak: DL d=+0.334, I²=0.58, PI=[-0.425, +1.093], verdict=NO_EFFECT
# P(D > V) cross-env: mean=0.580, n_strata=12, p_perm=0.069
