env,rho_marginal,p_marg,rho_partial_given_jens,p_part,absorption_pct,n_cells
Asterix,+0.731,0.000,+0.318,0.014,+56.5,60
FourRooms,+0.533,0.000,-0.222,0.092,+58.4,60
MetaMaze,+0.393,0.002,+0.171,0.195,+56.4,60
PacMan,+0.277,0.240,+0.167,0.501,+39.9,20
Freeway,+0.217,0.095,-0.243,0.063,-11.8,60
Snake,-0.206,0.115,-0.454,0.000,-120.5,60
Breakout,-0.148,0.260,-0.042,0.751,+71.3,60
Acrobot,-0.148,0.260,-0.246,0.060,-65.9,60
SpaceInvaders,-0.121,0.358,-0.265,0.042,-118.8,60
LunarLander,+0.104,0.431,+0.096,0.472,+7.9,60
CartPole,+0.060,0.652,+0.052,0.696,+12.6,60
MountainCar,-0.022,0.867,-0.221,0.093,-898.6,60
