env,n,marg_rho,pc_arm_adj,pc_outcome_adj,pc_mediators,best_med,best_part_rho,best_absorb_pct,dowhy_ate,dowhy_placebo_drift,dowhy_rcc_drift,note
Asterix,30,+0.728,"","normalized_bias_redq_late","",jensen_gap,+0.070,+90.4,+5.417,0.000,0.004,
Breakout,60,-0.098,"jensen_gap|policy_growth_fraction","","",q_max_growth,-0.009,+90.9,-1.944,0.000,0.046,
Freeway,60,+0.235,"","normalized_bias_redq_late","",q_burst_autocorr_lag1,+0.013,+94.5,+1.668,0.000,0.033,
SpaceInvaders,60,-0.121,"jensen_gap|normalized_bias_redq_late","","",bootstrap_action_mismatch_late,-0.061,+49.8,-2.076,0.000,0.026,
PacMan,20,+0.277,"","","",jensen_gap,+0.167,+39.9,+132.250,0.000,0.677,
Snake,60,-0.021,"","normalized_bias_redq_late","",q_autocorr_late,-0.003,+87.9,+0.126,0.000,0.007,
MetaMaze,60,+0.393,"jensen_gap","bootstrap_action_mismatch_late|normalized_bias_redq_late","",bootstrap_action_mismatch_late,+0.122,+68.8,+3.445,0.000,0.003,
FourRooms,60,+0.533,"q_inter_state_grad_overlap_late","normalized_bias_redq_late","",q_trajectory_autocorr_late,+0.321,+39.8,+0.225,0.000,0.001,
CartPole,60,+0.060,"","q_trajectory_autocorr_late","",q_action_grad_overlap_late,+0.048,+18.7,+nan,nan,nan,
Acrobot,60,-0.148,"","normalized_bias_redq_late|q_trajectory_autocorr_late","",q_trajectory_autocorr_late,-0.068,+54.4,-3.191,0.000,0.030,
MountainCar,60,-0.022,"","bootstrap_fraction|jensen_gap|q_trajectory_autocorr_late","",bootstrap_fraction,-0.022,+2.1,+nan,nan,nan,
LunarLander,60,+0.104,"","bootstrap_fraction","",q_trajectory_autocorr_late,+0.058,+44.6,+20.769,0.000,0.496,
