env,n_bursts,status,dl_marg_rho,dl_marg_i2,dl_part_rho,dl_part_i2,boot_marg_lo,boot_marg_hi,boot_part_lo,boot_part_hi
Asterix,50,SIGN_FLIP_DETECTED,+0.494,0.563,+0.406,0.345,+0.393,+0.585,+0.299,+0.524
Breakout,50,SIGN_FLIP_DETECTED,-0.048,0.000,-0.041,0.000,-0.173,+0.065,-0.159,+0.073
Freeway,50,SIGN_FLIP_DETECTED,+0.137,0.000,+0.060,0.000,-0.026,+0.292,-0.092,+0.217
SpaceInvaders,50,SIGN_FLIP_DETECTED,+0.077,0.053,+0.084,0.048,+0.037,+0.121,+0.046,+0.124
PacMan,10,SIGN_FLIP_DETECTED,+0.027,0.000,+0.002,0.000,-0.339,+0.375,-0.371,+0.379
Snake,150,SIGN_FLIP_DETECTED,+0.031,0.000,+0.025,0.000,-0.140,+0.210,-0.129,+0.196
MetaMaze,50,WEAK_TIME_VARYING,+0.154,0.000,+0.100,0.000,+0.105,+0.208,+0.051,+0.155
FourRooms,50,SIGN_FLIP_DETECTED,+0.503,0.682,+0.457,0.695,+0.412,+0.586,+0.391,+0.517
CartPole,50,SIGN_FLIP_DETECTED,+0.010,0.000,+0.007,0.000,-0.072,+0.100,-0.074,+0.097
Acrobot,50,SIGN_FLIP_DETECTED,-0.013,0.000,-0.007,0.000,-0.118,+0.092,-0.098,+0.086
MountainCar,50,SIGN_FLIP_DETECTED,-0.013,0.000,-0.033,0.000,-0.193,+0.177,-0.138,+0.072
LunarLander,50,SIGN_FLIP_DETECTED,-0.026,0.000,-0.029,0.000,-0.115,+0.063,-0.115,+0.060

# cluster status counts: {'SIGN_FLIP_DETECTED': 11, 'WEAK_TIME_VARYING': 1}
