env,n_V,n_D,pxy_peak,pxy_final,pxy_late5,pxy_auc
Acrobot-v1,30,30,0.5144,0.4456,0.4600,0.5589
Asterix-MinAtar,30,30,0.8222,0.5922,0.8200,0.8944
Breakout-MinAtar,30,30,0.5983,0.4622,0.4178,0.4578
CartPole-v1,30,30,0.4822,0.4811,0.5500,0.5156
FourRooms-misc,30,30,0.4822,0.3867,0.7067,0.9511
Freeway-MinAtar,30,30,0.5944,0.6033,0.5511,0.6278
LunarLander-v2-jax,30,30,0.5733,0.5589,0.5522,0.5200
MetaMaze-misc,30,30,0.5778,0.5311,0.5522,0.8511
MountainCar-v0,30,30,0.5572,0.4983,0.4928,0.4850
PacMan-jumanji,10,10,0.6900,0.6500,0.6600,0.5600
Snake-jumanji,30,30,0.4761,0.4950,0.3350,0.4456
SpaceInvaders-MinAtar,30,30,0.7789,0.4311,0.3478,0.5367
