alpha,eval_best_burst_mean,q_growth_max_minus_initial,pearson_r_online_target,ddqn_bootstrap_gap_late,unique_states_visited_late,state_hash_n_unique_late
0.0,11.7697509765625,563.3666217241879,0.9999320753367645,0.12000892251586914,509.0,509.0
0.0,10.624045580625534,633.9317990425972,0.9999422808449687,0.11447934020996094,508.0,508.0
0.0,10.197596299648286,724.3246384697425,0.99994402560789,0.06801833004760742,510.0,510.0
0.0,10.506167364120483,767.6935168896046,0.999947622189601,0.05105401553344727,508.0,508.0
0.0,10.787721419334412,739.9220427516209,0.9999436297066677,0.06385534170532227,507.0,507.0
0.0,10.974829852581024,624.8895986469255,0.9999406224878419,0.13042648236083984,505.0,505.0
0.0,11.797723406553269,748.8582843805536,0.9999464686611249,0.27506736877441407,511.0,511.0
0.0,8.61297516822815,753.3179162008805,0.9999429842749001,0.1413180014038086,507.0,507.0
0.0,7.5974218368530275,579.8507311936618,0.9999371294117131,0.13327508294677734,510.0,510.0
0.0,10.710654926300048,708.0066140549277,0.9999433228761178,0.1664241437072754,510.0,510.0
0.0,10.966034531593323,657.0315752419218,0.9999419258197737,0.10301186608886718,508.0,508.0
0.0,11.300317060947418,652.5640368220994,0.999940175930705,0.08213996154785157,509.0,509.0
0.0,8.26749141216278,611.9046853111186,0.9999367716532193,0.14226255029296875,507.0,507.0
0.0,10.670527756214142,653.8360511872332,0.9999416236870868,0.16144499606323243,509.0,509.0
0.0,11.41173267364502,579.0685078549043,0.9999393820906198,0.09358452206420899,509.0,509.0
0.25,10.660230934619904,469.1342846015991,0.99993269116486,0.10607232733154297,508.0,508.0
0.25,10.757854676246643,579.6740812967762,0.9999371172070534,0.03514386380004883,509.0,509.0
0.25,7.860251832008362,611.5325646708183,0.999940965817174,0.09618397030639649,510.0,510.0
0.25,9.495232558250427,672.5365415562514,0.9999395447418145,0.05722348846435547,509.0,509.0
0.25,12.518872857093811,615.7138635270479,0.9999386799917903,0.0924879857788086,508.0,508.0
0.25,9.375726503133773,554.8090680198832,0.9999412975461318,0.09663241143798829,508.0,508.0
0.25,11.511264514923095,513.4741021083927,0.9999317064182442,0.2046517260131836,510.0,510.0
0.25,11.379213404655456,562.3425130384458,0.9999366926551396,0.1241903703918457,508.0,508.0
0.25,8.795749855041503,597.4781156222401,0.9999446151000212,0.1174291258239746,506.0,506.0
0.25,7.725077164173126,573.5969551825549,0.9999374194283218,0.12908181796264648,507.0,507.0
0.25,10.823047477006913,611.0429381241033,0.9999345294963181,0.06728656802368164,508.0,508.0
0.25,10.800920963287354,599.2982173678676,0.9999382056195772,0.07377413217163085,504.0,504.0
0.25,11.165118372440338,536.1218404744769,0.999934804854829,0.16660416152954102,509.0,509.0
0.25,9.105623829364777,505.39617795963176,0.9999322736635216,0.11238804788208008,507.0,507.0
0.25,7.0098458409309385,536.648466050804,0.9999283349791457,0.12824168115234374,506.0,506.0
0.5,11.253693401813507,378.9983653253171,0.9999228913933281,0.10160111340332031,509.0,509.0
0.5,9.661538767814637,453.9086002695133,0.9999207243858698,0.04725169030761719,508.0,508.0
0.5,8.269973993301392,446.3599780180735,0.9999227251168548,0.08031741613769532,507.0,507.0
0.5,9.023956537246704,506.8092287303043,0.999933632908445,0.02528009182739258,509.0,509.0
0.5,12.666634392738342,503.2758329126275,0.9999369165945196,0.0407958219909668,509.0,509.0
0.5,9.16390963792801,427.2160832672769,0.9999263957359478,0.1555138821105957,507.0,507.0
0.5,9.0945573925972,383.4696479144331,0.9999242819446431,0.08955797119140625,509.0,509.0
0.5,10.8493070602417,405.2799066184924,0.9999215523413539,0.15676996798706055,508.0,508.0
0.5,11.099917912483216,436.1866404845314,0.9999216529269015,0.08379260906982422,507.0,507.0
0.5,9.6998211145401,423.03724043852696,0.9999273679784005,0.15321877505493164,510.0,510.0
0.5,9.501897704601287,452.1227957970385,0.9999298041795941,0.08822942797851563,508.0,508.0
0.5,10.182374662160873,483.8048652746398,0.9999288291653418,0.07817024160766602,510.0,510.0
0.5,7.697797614336014,387.77196137825905,0.9999188603711792,0.11436084521484376,504.0,504.0
0.5,10.227804350852967,375.20732705119605,0.9999216160256374,0.0752237553100586,510.0,510.0
0.5,9.220693957805633,450.9308865818636,0.9999277762938769,0.13839000479125976,507.0,507.0
0.75,8.347285026311875,339.9229546643943,0.9999131376694972,0.06968821603393555,507.0,507.0
0.75,8.528762266039848,333.35597420634844,0.9999073102363494,0.038784916015625,508.0,508.0
0.75,9.005262356996536,335.6919536051365,0.9999095321406944,0.09003400076293945,507.0,507.0
0.75,9.067735999822617,366.6750280842288,0.9999145752223229,0.04264509213256836,508.0,508.0
0.75,9.13774507045746,376.7963190181956,0.9999183480292434,0.033157343322753906,510.0,510.0
0.75,9.989929127693177,341.3835261525619,0.9999112333346554,0.14555646200561523,507.0,507.0
0.75,8.312141871452331,207.24356249247336,0.9998963335657682,0.09232131880187988,510.0,510.0
0.75,9.794717407226562,303.5976858396864,0.9999082362959862,0.06919378094482422,509.0,509.0
0.75,7.835428500175476,324.10251094755125,0.999915265655299,0.13894135150146483,508.0,508.0
0.75,10.032297706604004,320.74408549186325,0.9999123070480179,0.06849173558044433,510.0,510.0
0.75,9.447483682632447,363.0810739467469,0.9999173458291628,0.059137729064941406,511.0,511.0
0.75,9.222753667831421,288.9313746450142,0.999904593983797,0.06375732725524902,511.0,511.0
0.75,7.715725657343865,346.3260787472259,0.9999130984619377,0.12800890200805665,506.0,506.0
0.75,8.680030274391175,301.096517288311,0.9999011384501487,0.06956558828735351,508.0,508.0
0.75,7.441966325044632,330.13849461313293,0.9999072248272091,0.10860082177734375,508.0,508.0
1.0,7.19110215306282,229.54523698172335,0.9999001592276473,0.06073419145202637,509.0,509.0
1.0,8.967398858070373,305.13279515143273,0.9999014987031866,0.016832719650268554,508.0,508.0
1.0,8.460171255469323,244.79202893412605,0.9999003433899237,0.045711769912719726,508.0,508.0
1.0,9.524520599842072,285.60486606736276,0.9999116725960332,0.025707957443237305,508.0,508.0
1.0,9.252511197328568,284.7505452243823,0.999906856519188,0.03391311065673828,509.0,509.0
1.0,10.244768357276916,260.11969263078305,0.999901850874669,0.044639076248168943,509.0,509.0
1.0,8.023146396875381,207.88191263025956,0.9998781164035903,0.06520700988769532,507.0,507.0
1.0,8.052184575796128,305.82367124179643,0.9999045224182109,0.021491432403564454,506.0,506.0
1.0,7.738876354694367,250.27454946431484,0.9999067669124492,0.03423642337036133,507.0,507.0
1.0,10.577015075087548,254.36015483862494,0.9998887464961699,0.03974407139587403,509.0,509.0
1.0,9.135921683907508,273.21673976879185,0.9998962240424291,0.07286510433959961,508.0,508.0
1.0,8.645510184764863,257.0563512285279,0.9998923431771483,0.04178614326477051,510.0,510.0
1.0,6.592843407392502,255.6984164126922,0.9998999046714095,0.07355980329895019,506.0,506.0
1.0,8.574053955078124,233.79009821187466,0.9998970685706252,0.08443045027160645,509.0,509.0
