env,direction,mediator,channel,marginal_rho,absorbed_pct,tautological,pc_proximal
Asterix,HARM,jensen_gap,bias/Q-mag,-0.3580068935307033,134.60097981572562,true,true
Asterix,HARM,state_hash_entropy_late,state-coverage,-0.3580068935307033,1.8514266957590952,false,false
Asterix,HARM,unique_states_visited_late,state-coverage,-0.3580068935307033,1.4214697064163229,false,false
Asterix,HARM,mutual_info_state_argmax_late,policy-shape,-0.3580068935307033,0.20624545360821145,false,false
Asterix,HARM,policy_churn_late,policy-shape,-0.3580068935307033,1.3208517416844145,false,false
Asterix,HARM,q_trajectory_autocorr_late,policy-shape,-0.3580068935307033,17.710415897640285,false,false
Breakout,help,jensen_gap,bias/Q-mag,0.3445383024342391,48.29497009576061,true,false
Breakout,help,state_hash_entropy_late,state-coverage,0.3445383024342391,5.0475061528033045,false,false
Breakout,help,unique_states_visited_late,state-coverage,0.3445383024342391,30.51103236408337,false,false
Breakout,help,mutual_info_state_argmax_late,policy-shape,0.3445383024342391,0.7465051060817629,false,false
Breakout,help,policy_churn_late,policy-shape,0.3445383024342391,0.011179776910685835,false,false
Breakout,help,q_trajectory_autocorr_late,policy-shape,0.3445383024342391,18.32526302123152,false,false
FourRooms,help,jensen_gap,bias/Q-mag,0.5543332544991535,90.4338646729805,true,false
FourRooms,help,q_late_mean,bias/Q-mag,0.5543332544991535,59.87317554482148,false,false
FourRooms,help,state_hash_entropy_late,state-coverage,0.5543332544991535,68.3488130455127,false,true
FourRooms,help,unique_states_visited_late,state-coverage,0.5543332544991535,22.862606641923943,false,false
FourRooms,help,mutual_info_state_argmax_late,policy-shape,0.5543332544991535,54.92824054068643,false,false
FourRooms,help,policy_churn_late,policy-shape,0.5543332544991535,50.686315905733956,false,false
FourRooms,help,greedy_match_late,policy-shape,0.5543332544991535,5.218728792044924,false,false
FourRooms,help,q_trajectory_autocorr_late,policy-shape,0.5543332544991535,0.03063912262550872,false,false
SpaceInvaders,help,jensen_gap,bias/Q-mag,0.7987788215873218,8.232708559213975,true,false
SpaceInvaders,help,state_hash_entropy_late,state-coverage,0.7987788215873218,65.2800445247303,false,true
SpaceInvaders,help,unique_states_visited_late,state-coverage,0.7987788215873218,80.42096596295161,false,false
SpaceInvaders,help,mutual_info_state_argmax_late,policy-shape,0.7987788215873218,-0.30508422238262334,false,false
SpaceInvaders,help,policy_churn_late,policy-shape,0.7987788215873218,40.3360765495844,false,false
SpaceInvaders,help,q_trajectory_autocorr_late,policy-shape,0.7987788215873218,64.25288555172821,false,false
